timestamp;x_accel;y_accel;z_accel
1464540686000;0.38;-1.004;-0.524
1464540686000;0.384;-1.0;-0.508
1464540686000;0.388;-0.988;-0.508
1464540686000;0.384;-1.008;-0.504
1464540686000;0.38;-1.0;-0.516
1464540686000;0.38;-1.004;-0.524
1464540686000;0.372;-0.988;-0.524
1464540686000;0.364;-1.004;-0.516
1464540686000;0.364;-1.008;-0.512
1464540686000;0.38;-1.004;-0.512
1464540686000;0.384;-1.0;-0.516
1464540686000;0.344;-1.088;-0.524
1464540686000;0.208;-1.324;-0.628
1464540686000;0.156;-1.448;-0.724
1464540686000;0.172;-1.472;-0.808
1464540686000;0.152;-1.608;-0.928
1464540686000;0.168;-1.56;-0.856
1464540686000;0.164;-1.432;-0.772
1464540686000;0.152;-1.052;-0.532
1464540687000;0.152;-0.972;-0.46
1464540687000;0.164;-0.932;-0.42
1464540687000;0.244;-0.624;-0.264
1464540687000;0.264;-0.564;-0.204
1464540687000;0.296;-0.552;-0.144
1464540687000;0.316;-0.404;-0.052
1464540687000;0.336;-0.244;0.024
1464540687000;0.368;-0.108;0.108
1464540687000;0.312;0.24;0.156
1464540687000;0.284;0.448;0.252
1464540687000;0.304;0.696;0.572
1464540687000;0.32;0.912;0.644
1464540687000;0.376;1.172;0.724
1464540687000;0.524;1.352;0.696
1464540687000;0.572;1.46;0.628
1464540687000;0.668;1.68;0.648
1464540687000;0.832;1.832;0.76
1464540687000;0.832;1.792;0.804
1464540687000;0.824;1.804;0.804
1464540687000;0.724;1.604;0.616
1464540687000;0.68;1.336;0.496
1464540687000;0.644;1.06;0.368
1464540687000;0.596;0.556;0.132
1464540687000;0.576;0.36;0.06
1464540687000;0.58;0.184;0.012
1464540687000;0.496;-0.096;-0.076
1464540687000;0.448;-0.24;-0.104
1464540687000;0.36;-0.46;-0.128
1464540687000;0.32;-0.528;-0.128
1464540687000;0.28;-0.616;-0.156
1464540687000;0.2;-0.792;-0.252
1464540687000;0.16;-0.912;-0.324
1464540687000;0.136;-1.024;-0.36
1464540687000;0.044;-1.572;-0.552
1464540687000;0.048;-1.908;-0.696
1464540687000;0.044;-2.048;-0.808
1464540687000;0.044;-2.048;-0.796
1464540688000;0.048;-1.796;-0.724
1464540688000;0.068;-1.604;-0.624
1464540688000;0.112;-1.312;-0.436
1464540688000;0.148;-1.152;-0.34
1464540688000;0.184;-1.012;-0.26
1464540688000;0.268;-0.776;-0.18
1464540688000;0.292;-0.66;-0.116
1464540688000;0.364;-0.476;-0.056
1464540688000;0.424;-0.4;-0.012
1464540688000;0.464;-0.264;0.004
1464540688000;0.46;0.012;0.02
1464540688000;0.544;0.216;0.02
1464540688000;0.56;0.38;0.04
1464540688000;0.588;0.564;0.104
1464540688000;0.648;0.988;0.112
1464540688000;0.68;1.368;0.132
1464540688000;0.764;1.72;0.316
1464540688000;0.82;2.008;0.292
1464540688000;0.912;2.044;0.316
1464540688000;1.056;2.044;0.412
1464540688000;1.092;1.936;0.376
1464540688000;1.06;1.696;0.352
1464540688000;0.896;1.216;0.288
1464540688000;0.808;0.988;0.244
1464540688000;0.66;0.52;0.2
1464540688000;0.568;0.316;0.144
1464540688000;0.5;0.168;0.1
1464540688000;0.384;-0.14;0.072
1464540688000;0.344;-0.344;0.056
1464540688000;0.268;-0.504;0.012
1464540688000;0.092;-0.756;-0.084
1464540688000;0.076;-0.868;-0.124
1464540688000;0.1;-1.052;-0.212
1464540688000;0.056;-1.392;-0.44
1464540688000;0.004;-1.528;-0.504
1464540688000;-0.024;-1.62;-0.568
1464540688000;-0.052;-1.856;-0.72
1464540688000;-0.068;-1.912;-0.752
1464540689000;0.028;-1.636;-0.78
1464540689000;-0.004;-1.624;-0.68
1464540689000;0.008;-1.496;-0.54
1464540689000;0.084;-1.136;-0.392
1464540689000;0.12;-1.004;-0.332
1464540689000;0.16;-0.916;-0.268
1464540689000;0.248;-0.744;-0.188
1464540689000;0.268;-0.632;-0.18
1464540689000;0.396;-0.404;-0.096
1464540689000;0.444;-0.288;-0.012
1464540689000;0.432;-0.084;-0.004
1464540689000;0.576;0.168;0.044
1464540689000;0.604;0.188;0.084
1464540689000;0.568;0.364;0.048
1464540689000;0.688;1.028;0.104
1464540689000;0.764;1.148;0.192
1464540689000;0.816;1.296;0.284
1464540689000;0.84;1.776;0.552
1464540689000;0.888;1.96;0.62
1464540689000;0.952;2.044;0.64
1464540689000;1.056;1.748;0.72
1464540689000;1.04;1.572;0.668
1464540689000;0.892;1.268;0.504
1464540689000;0.808;1.008;0.448
1464540689000;0.764;0.748;0.384
1464540689000;0.696;0.404;0.24
1464540689000;0.668;0.252;0.204
1464540689000;0.652;0.08;0.2
1464540689000;0.604;-0.184;0.12
1464540689000;0.58;-0.276;0.096
1464540689000;0.576;-0.352;0.056
1464540689000;0.468;-0.476;-0.02
1464540689000;0.404;-0.508;-0.084
1464540689000;0.344;-0.56;-0.152
1464540689000;0.224;-0.824;-0.272
1464540689000;0.172;-1.0;-0.352
1464540689000;0.144;-1.196;-0.436
1464540690000;0.14;-1.624;-0.54
1464540690000;0.14;-1.78;-0.64
1464540690000;0.14;-1.82;-0.648
1464540690000;0.18;-1.568;-0.692
1464540690000;0.156;-1.6;-0.68
1464540690000;0.164;-1.424;-0.472
1464540690000;0.192;-1.224;-0.388
1464540690000;0.204;-1.056;-0.328
1464540690000;0.292;-0.852;-0.208
1464540690000;0.32;-0.792;-0.14
1464540690000;0.316;-0.724;-0.112
1464540690000;0.4;-0.524;-0.004
1464540690000;0.412;-0.408;0.028
1464540690000;0.448;-0.192;0.096
1464540690000;0.492;0.136;0.184
1464540690000;0.54;0.316;0.22
1464540690000;0.608;0.504;0.248
1464540690000;0.668;0.596;0.264
1464540690000;0.712;0.828;0.272
1464540690000;0.864;1.252;0.476
1464540690000;0.856;1.356;0.616
1464540690000;0.852;1.6;0.692
1464540690000;0.936;2.044;0.736
1464540690000;1.024;2.044;0.668
1464540690000;1.1;1.9;0.6
1464540690000;1.016;1.432;0.436
1464540690000;0.94;1.224;0.38
1464540690000;0.868;0.996;0.296
1464540690000;0.764;0.576;0.208
1464540690000;0.724;0.38;0.172
1464540690000;0.7;0.236;0.144
1464540690000;0.584;-0.008;0.104
1464540690000;0.54;-0.14;0.092
1464540690000;0.504;-0.348;0.036
1464540690000;0.46;-0.44;0.004
1464540690000;0.396;-0.508;-0.032
1464540690000;0.276;-0.648;-0.116
1464540691000;0.256;-0.78;-0.176
1464540691000;0.22;-0.912;-0.208
1464540691000;0.14;-1.276;-0.304
1464540691000;0.096;-1.516;-0.396
1464540691000;0.116;-1.812;-0.528
1464540691000;0.092;-1.876;-0.576
1464540691000;0.096;-1.856;-0.616
1464540691000;0.076;-1.712;-0.596
1464540691000;0.096;-1.636;-0.5
1464540691000;0.148;-1.388;-0.44
1464540691000;0.212;-1.044;-0.304
1464540691000;0.244;-0.944;-0.232
1464540691000;0.26;-0.836;-0.176
1464540691000;0.336;-0.592;-0.12
1464540691000;0.348;-0.5;-0.072
1464540691000;0.396;-0.368;-0.02
1464540691000;0.484;-0.028;0.008
1464540691000;0.504;0.048;0.072
1464540691000;0.588;0.216;0.156
1464540691000;0.584;0.396;0.184
1464540691000;0.648;0.572;0.232
1464540691000;0.66;0.808;0.464
1464540691000;0.688;1.064;0.564
1464540691000;0.736;1.316;0.748
1464540691000;0.868;1.712;1.004
1464540691000;0.964;1.892;0.968
1464540691000;1.036;1.94;0.924
1464540691000;1.068;1.72;0.756
1464540691000;1.02;1.54;0.604
1464540691000;0.944;1.292;0.492
1464540691000;0.804;0.76;0.304
1464540691000;0.752;0.556;0.26
1464540691000;0.704;0.396;0.196
1464540691000;0.636;0.084;0.152
1464540691000;0.64;-0.02;0.12
1464540691000;0.624;-0.144;0.112
1464540691000;0.572;-0.332;0.064
1464540691000;0.536;-0.368;0.024
1464540692000;0.444;-0.472;-0.012
1464540692000;0.392;-0.576;-0.02
1464540692000;0.32;-0.7;-0.068
1464540692000;0.228;-0.948;-0.24
1464540692000;0.216;-1.128;-0.288
1464540692000;0.192;-1.38;-0.376
1464540692000;0.236;-1.84;-0.548
1464540692000;0.188;-2.048;-0.732
1464540692000;0.208;-1.884;-0.696
1464540692000;0.144;-1.652;-0.52
1464540692000;0.16;-1.58;-0.456
1464540692000;0.176;-1.412;-0.388
1464540692000;0.192;-1.124;-0.252
1464540692000;0.184;-0.992;-0.192
1464540692000;0.22;-0.752;-0.08
1464540692000;0.244;-0.636;-0.012
1464540692000;0.264;-0.508;0.036
1464540692000;0.344;-0.14;0.088
1464540692000;0.364;0.028;0.132
1464540692000;0.46;0.216;0.28
1464540692000;0.432;0.368;0.308
1464540692000;0.448;0.644;0.32
1464540692000;0.544;0.768;0.432
1464540692000;0.516;0.832;0.512
1464540692000;0.56;1.188;0.6
1464540692000;0.796;1.672;0.852
1464540692000;0.872;1.696;1.008
1464540692000;0.956;1.904;1.076
1464540692000;1.044;2.044;0.968
1464540692000;1.028;1.912;0.9
1464540692000;1.0;1.656;0.784
1464540692000;0.82;1.132;0.536
1464540692000;0.76;0.888;0.436
1464540692000;0.68;0.688;0.348
1464540692000;0.6;0.364;0.264
1464540692000;0.6;0.208;0.224
1464540692000;0.572;-0.048;0.136
1464540693000;0.576;-0.132;0.104
1464540693000;0.588;-0.228;0.08
1464540693000;0.512;-0.324;0.004
1464540693000;0.484;-0.352;-0.012
1464540693000;0.46;-0.408;-0.06
1464540693000;0.296;-0.56;-0.096
1464540693000;0.216;-0.668;-0.132
1464540693000;0.168;-0.816;-0.18
1464540693000;0.064;-1.348;-0.3
1464540693000;0.064;-1.652;-0.42
1464540693000;0.104;-1.924;-0.508
1464540693000;0.088;-2.048;-0.624
1464540693000;0.116;-1.916;-0.644
1464540693000;0.14;-1.764;-0.596
1464540693000;0.204;-1.44;-0.404
1464540693000;0.22;-1.284;-0.34
1464540693000;0.236;-0.992;-0.192
1464540693000;0.248;-0.824;-0.124
1464540693000;0.26;-0.692;-0.088
1464540693000;0.244;-0.464;-0.064
1464540693000;0.28;-0.364;-0.016
1464540693000;0.328;-0.244;0.0
1464540693000;0.42;0.212;0.004
1464540693000;0.436;0.256;0.052
1464540693000;0.424;0.364;0.08
1464540693000;0.432;0.696;0.14
1464540693000;0.488;0.876;0.212
1464540693000;0.512;1.076;0.304
1464540693000;0.592;1.408;0.672
1464540693000;0.668;1.752;0.824
1464540693000;0.72;2.044;0.92
1464540693000;0.984;2.044;0.968
1464540693000;1.052;2.044;0.896
1464540693000;0.952;1.652;0.748
1464540693000;0.848;1.412;0.676
1464540693000;0.74;1.184;0.568
1464540693000;0.652;0.708;0.404
1464540694000;0.628;0.508;0.344
1464540694000;0.608;0.232;0.24
1464540694000;0.632;0.116;0.22
1464540694000;0.648;0.0;0.192
1464540694000;0.62;-0.192;0.1
1464540694000;0.572;-0.244;0.052
1464540694000;0.516;-0.292;0.032
1464540694000;0.452;-0.372;-0.04
1464540694000;0.38;-0.46;-0.068
1464540694000;0.188;-0.732;-0.16
1464540694000;0.136;-0.888;-0.204
1464540694000;0.096;-1.132;-0.252
1464540694000;0.08;-1.6;-0.376
1464540694000;0.076;-1.832;-0.512
1464540694000;0.1;-1.936;-0.596
1464540694000;0.212;-1.552;-0.748
1464540694000;0.196;-1.74;-0.676
1464540694000;0.184;-1.616;-0.648
1464540694000;0.184;-1.428;-0.476
1464540694000;0.18;-1.272;-0.4
1464540694000;0.176;-1.108;-0.292
1464540694000;0.216;-0.812;-0.136
1464540694000;0.22;-0.66;-0.084
1464540694000;0.24;-0.364;0.02
1464540694000;0.272;-0.212;0.076
1464540694000;0.32;-0.068;0.132
1464540694000;0.328;0.068;0.184
1464540694000;0.352;0.136;0.216
1464540694000;0.384;0.328;0.224
1464540694000;0.484;1.272;0.2
1464540694000;0.552;1.248;0.276
1464540694000;0.588;1.032;0.46
1464540694000;0.748;1.72;0.612
1464540694000;0.824;2.044;0.652
1464540694000;0.916;2.032;0.704
1464540694000;1.156;1.828;0.664
1464540694000;1.164;1.86;0.604
1464540695000;1.072;1.724;0.588
1464540695000;0.892;1.26;0.552
1464540695000;0.808;1.088;0.504
1464540695000;0.68;0.716;0.368
1464540695000;0.672;0.516;0.344
1464540695000;0.668;0.324;0.316
1464540695000;0.68;0.136;0.232
1464540695000;0.688;0.056;0.18
1464540695000;0.664;-0.024;0.144
1464540695000;0.64;-0.188;0.108
1464540695000;0.592;-0.26;0.088
1464540695000;0.564;-0.308;0.068
1464540695000;0.388;-0.392;-0.008
1464540695000;0.272;-0.496;-0.016
1464540695000;0.208;-0.624;-0.064
1464540695000;0.144;-1.024;-0.188
1464540695000;0.132;-1.308;-0.236
1464540695000;0.156;-1.624;-0.3
1464540695000;0.224;-2.004;-0.468
1464540695000;0.236;-1.928;-0.592
1464540695000;0.216;-1.612;-0.528
1464540695000;0.196;-1.612;-0.496
1464540695000;0.216;-1.516;-0.428
1464540695000;0.24;-1.208;-0.284
1464540695000;0.24;-1.116;-0.236
1464540695000;0.244;-1.02;-0.204
1464540695000;0.24;-0.8;-0.144
1464540695000;0.252;-0.688;-0.128
1464540695000;0.268;-0.544;-0.104
1464540695000;0.312;-0.184;-0.004
1464540695000;0.348;-0.02;0.056
1464540695000;0.396;0.168;0.228
1464540695000;0.42;0.404;0.272
1464540695000;0.392;0.696;0.3
1464540695000;0.284;0.94;0.412
1464540695000;0.276;1.132;0.556
1464540695000;0.288;1.452;0.668
1464540695000;0.404;1.832;0.936
1464540696000;0.56;2.044;0.936
1464540696000;0.744;2.044;0.848
1464540696000;0.928;2.044;0.796
1464540696000;0.92;1.868;0.732
1464540696000;0.804;1.672;0.684
1464540696000;0.62;1.204;0.6
1464540696000;0.564;0.92;0.544
1464540696000;0.548;0.644;0.488
1464540696000;0.6;0.3;0.328
1464540696000;0.584;0.204;0.28
1464540696000;0.54;-0.08;0.236
1464540696000;0.524;-0.2;0.184
1464540696000;0.516;-0.256;0.152
1464540696000;0.432;-0.336;0.056
1464540696000;0.392;-0.42;0.024
1464540696000;0.316;-0.496;-0.004
1464540696000;0.152;-0.772;-0.192
1464540696000;0.14;-0.904;-0.268
1464540696000;0.1;-1.04;-0.312
1464540696000;-0.012;-1.476;-0.436
1464540696000;-0.048;-1.772;-0.552
1464540696000;-0.02;-1.92;-0.632
1464540696000;-0.016;-1.872;-0.68
1464540696000;-0.004;-1.748;-0.664
1464540696000;-0.012;-1.596;-0.6
1464540696000;0.024;-1.36;-0.448
1464540696000;0.064;-1.236;-0.364
1464540696000;0.152;-0.916;-0.252
1464540696000;0.176;-0.784;-0.228
1464540696000;0.232;-0.656;-0.176
1464540696000;0.292;-0.412;-0.112
1464540696000;0.332;-0.224;-0.088
1464540696000;0.38;-0.024;-0.076
1464540696000;0.492;0.204;0.052
1464540696000;0.504;0.268;0.136
1464540696000;0.536;0.58;0.172
1464540696000;0.572;0.864;0.36
1464540697000;0.604;0.824;0.54
1464540697000;0.632;1.388;0.732
1464540697000;0.668;1.492;0.896
1464540697000;0.7;1.456;1.028
1464540697000;0.884;1.796;1.004
1464540697000;0.972;1.804;1.0
1464540697000;0.972;1.648;0.96
1464540697000;0.944;1.4;0.788
1464540697000;0.908;1.228;0.712
1464540697000;0.8;0.84;0.52
1464540697000;0.756;0.64;0.444
1464540697000;0.74;0.48;0.372
1464540697000;0.74;0.292;0.26
1464540697000;0.716;0.18;0.256
1464540697000;0.688;0.032;0.22
1464540697000;0.628;-0.184;0.08
1464540697000;0.616;-0.284;0.04
1464540697000;0.624;-0.36;0.012
1464540697000;0.504;-0.4;-0.02
1464540697000;0.42;-0.444;-0.044
1464540697000;0.336;-0.528;-0.056
1464540697000;0.148;-0.86;-0.164
1464540697000;0.06;-1.008;-0.24
1464540697000;0.04;-1.192;-0.296
1464540697000;0.036;-1.716;-0.448
1464540697000;0.044;-1.848;-0.504
1464540697000;0.048;-1.74;-0.536
1464540697000;0.12;-1.368;-0.608
1464540697000;0.12;-1.524;-0.572
1464540697000;0.14;-1.432;-0.36
1464540697000;0.148;-1.26;-0.336
1464540697000;0.144;-1.092;-0.276
1464540697000;0.232;-0.94;-0.188
1464540697000;0.26;-0.824;-0.14
1464540697000;0.24;-0.696;-0.104
1464540697000;0.32;-0.392;-0.012
1464540697000;0.352;-0.232;0.04
1464540698000;0.344;-0.056;0.048
1464540698000;0.476;0.392;0.1
1464540698000;0.488;0.496;0.144
1464540698000;0.46;0.516;0.192
1464540698000;0.372;1.104;0.484
1464540698000;0.308;1.352;0.808
1464540698000;0.26;1.424;1.22
1464540698000;0.468;1.724;1.236
1464540698000;0.756;1.96;1.168
1464540698000;1.02;1.764;1.084
1464540698000;1.012;1.676;1.032
1464540698000;0.996;1.676;0.96
1464540698000;0.792;1.408;0.748
1464540698000;0.72;1.088;0.652
1464540698000;0.664;0.808;0.544
1464540698000;0.644;0.436;0.34
1464540698000;0.64;0.28;0.304
1464540698000;0.624;0.1;0.292
1464540698000;0.544;-0.168;0.148
1464540698000;0.536;-0.224;0.108
1464540698000;0.488;-0.332;0.032
1464540698000;0.444;-0.412;0.004
1464540698000;0.404;-0.464;-0.036
1464540698000;0.324;-0.6;-0.148
1464540698000;0.272;-0.672;-0.2
1464540698000;0.168;-0.944;-0.276
1464540698000;0.092;-1.148;-0.312
1464540698000;0.044;-1.412;-0.396
1464540698000;0.0;-1.864;-0.516
1464540698000;0.144;-2.032;-0.804
1464540698000;0.124;-1.692;-0.692
1464540698000;0.08;-1.544;-0.528
1464540698000;0.12;-1.476;-0.496
1464540698000;0.152;-1.36;-0.452
1464540698000;0.196;-1.14;-0.344
1464540698000;0.212;-1.016;-0.292
1464540698000;0.208;-0.884;-0.244
1464540698000;0.248;-0.612;-0.136
1464540699000;0.192;-0.484;-0.092
1464540699000;0.156;-0.348;-0.028
1464540699000;0.252;0.06;0.124
1464540699000;0.284;0.264;0.192
1464540699000;0.392;0.548;0.364
1464540699000;0.416;0.644;0.412
1464540699000;0.496;0.928;0.62
1464540699000;0.572;1.104;0.772
1464540699000;0.636;1.328;0.932
1464540699000;0.752;1.8;1.184
1464540699000;0.904;1.916;1.196
1464540699000;1.072;1.916;1.184
1464540699000;1.072;1.628;1.072
1464540699000;1.012;1.564;0.976
1464540699000;0.736;1.3;0.72
1464540699000;0.672;1.004;0.636
1464540699000;0.632;0.728;0.56
1464540699000;0.6;0.508;0.36
1464540699000;0.572;0.368;0.316
1464540699000;0.572;0.204;0.308
1464540699000;0.528;-0.072;0.232
1464540699000;0.528;-0.124;0.18
1464540699000;0.496;-0.188;0.124
1464540699000;0.5;-0.36;0.072
1464540699000;0.44;-0.452;0.04
1464540699000;0.352;-0.548;0.016
1464540699000;0.256;-0.752;-0.06
1464540699000;0.216;-0.852;-0.124
1464540699000;0.164;-1.012;-0.196
1464540699000;0.144;-1.412;-0.356
1464540699000;0.144;-1.58;-0.432
1464540699000;0.036;-1.86;-0.616
1464540699000;0.176;-1.724;-0.72
